2024-05-16 09:55:28 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2024-05-16 09:55:28 [main] INFO  c.t.monitoring.MonitoringApplication - Started MonitoringApplication in 1.112 seconds (process running for 1.32)
2024-05-16 09:55:28 [RMI TCP Connection(2)-127.0.0.1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-05-16 09:55:28 [RMI TCP Connection(2)-127.0.0.1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-05-16 09:55:28 [RMI TCP Connection(2)-127.0.0.1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2024-05-16 09:56:57 [http-nio-8080-exec-10] INFO  c.t.m.controller.JobController - job started ...
2024-05-16 09:56:58 [http-nio-8080-exec-10] INFO  c.t.m.metric.ExecutionTimeAspect - {"job":"execution_time","duration_sec":1.200235041}
2024-05-16 09:57:15 [main] INFO  c.t.monitoring.MonitoringApplication - Starting MonitoringApplication using Java 21.0.1 with PID 25721 (/Users/mikas/git/monitoring/build/classes/java/main started by mikas in /Users/mikas/git/monitoring)
2024-05-16 09:57:15 [main] INFO  c.t.monitoring.MonitoringApplication - No active profile set, falling back to 1 default profile: "default"
2024-05-16 09:57:16 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2024-05-16 09:57:16 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-05-16 09:57:16 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
2024-05-16 09:57:16 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-05-16 09:57:16 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 509 ms
2024-05-16 09:57:16 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 15 endpoint(s) beneath base path '/actuator'
2024-05-16 09:57:16 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2024-05-16 09:57:16 [main] INFO  c.t.monitoring.MonitoringApplication - Started MonitoringApplication in 1.114 seconds (process running for 1.457)
2024-05-16 09:57:17 [RMI TCP Connection(2)-127.0.0.1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-05-16 09:57:17 [RMI TCP Connection(2)-127.0.0.1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-05-16 09:57:17 [RMI TCP Connection(2)-127.0.0.1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2024-05-16 09:57:20 [http-nio-8080-exec-2] INFO  c.t.m.metric.ExecutionPathAspect - ExecutionPath: com.tutrit.monitoring.controller.JobController.jobMetrics
2024-05-16 09:57:20 [http-nio-8080-exec-2] INFO  c.t.m.controller.JobController - job started ...
2024-05-16 09:57:22 [http-nio-8080-exec-2] INFO  c.t.m.metric.ExecutionTimeAspect - {"job":"execution_time","duration_sec":1.728144167}
